	logFC	logCPM	PValue	FDR
ENSG00000196581	-2.10251443947336	1.32192713152141	1.26989381822282e-12	1.04211180205385e-11
ENSG00000131697	0.0155693508137665	4.69474247864639	0.882650690330764	0.905503509245977
ENSG00000069424	-0.737192215096215	6.16190045588945	1.355837300262e-05	3.8190431190358e-05
ENSG00000116254	2.76063100870449	1.8258169550685	4.02017368035163e-08	1.67833061231471e-07
ENSG00000116251	-0.114368718126322	7.84709726348383	0.213018053071392	0.267624744724902
ENSG00000158286	1.01138148003256	4.45648236214556	6.76693412583062e-10	3.70209530647634e-09
ENSG00000116237	0.0919350243906328	6.43290982625084	0.284625310189023	0.344614142742725
ENSG00000158292	-1.05708513920734	4.88433758282243	4.28084791963291e-12	3.23179082515992e-11
ENSG00000097021	-0.277796832886399	4.29830008991572	0.0518829284114995	0.0760064281235771
ENSG00000069812	-0.306033197156228	1.70816121375827	0.359059492108144	0.42187075312671
ENSG00000187017	2.08947849317998	2.971014913191	7.92103991049912e-08	3.15038152369861e-07
ENSG00000215788	0.479637455531836	4.39805222643011	0.0010362037481997	0.00212367854494835
ENSG00000171680	-0.146333210151956	4.9706952613631	0.257641606800656	0.315691505887062
ENSG00000162408	-0.195470962548999	4.92937170082334	0.00137198693379414	0.00274301806458902
ENSG00000173662	0.625249905599624	-0.578696419540576	0.0521290094856641	0.0763279643992352
ENSG00000204859	0.204049123884714	4.98990088632949	0.0214242681628021	0.0341324667153642
ENSG00000162413	-0.313807403430185	5.80836889977492	0.00903371039945468	0.0154990356319622
ENSG00000116273	-0.0428393778391466	4.51184391813503	0.662983907953547	0.71513550938997
ENSG00000041988	0.0336086547421071	3.47823017910294	0.758962951433752	0.800525398054849
ENSG00000007923	0.224588824098812	4.9670122327149	0.000739962023723231	0.00155671767667567
ENSG00000171735	0.0743135261216763	4.62128489473443	0.552909869073777	0.612653412014512
ENSG00000270035	1.060644781447	-1.55513934312164	0.000441343353338619	0.000966653578850797
ENSG00000269978	1.41569110630078	-0.807380413961413	5.4509801345065e-08	2.22615856723117e-07
ENSG00000049245	-0.702108930872972	7.02150562863088	1.3050959762247e-18	2.79808677335944e-17
ENSG00000269925	0.0594534772596903	0.319773367552726	0.68723523553113	0.737138589704996
ENSG00000049246	-0.591493341986107	5.73552682613898	0.00509748246440754	0.0091644286045716
ENSG00000049247	0.610167288202431	1.21489928292198	0.0536401821963246	0.0782952568583859
ENSG00000049249	0.112895076051447	2.0425412080108	0.721793444560671	0.767242103168385
ENSG00000116288	0.177677624918865	6.71579949666864	0.0330769691763457	0.050638868601098
ENSG00000116285	0.585740523641692	8.20999259771045	0.0272705478247244	0.0425109051952269
ENSG00000238290	1.93767525548297	-1.04711761453671	2.11036742270346e-11	1.42985400184451e-10
ENSG00000162426	0.197859402993997	1.33351779278939	0.368333925081291	0.431153724563457
ENSG00000142599	-0.428390674059573	7.23158598452132	4.76909802994149e-09	2.29750562663159e-08
ENSG00000074800	1.01285017866155	9.55635866577736	7.75504455272915e-12	5.63439746906965e-11
ENSG00000280816	1.36685207889468	-0.392640499005545	1.25305983159561e-07	4.82976188736073e-07
ENSG00000142583	0.813077039599192	3.40765984570122	0.0379256890084132	0.0572332607038772
ENSG00000180758	-0.685142064806777	4.75867556030182	7.75881050790893e-10	4.20352600575465e-09
ENSG00000234546	0.46443287383365	-0.14335269269716	0.0030268555513095	0.00567330669623592
ENSG00000049239	-0.528168016037838	7.35248834353325	1.51227258378187e-06	4.98033507140885e-06
ENSG00000171621	-0.219363426174459	5.66049679738472	0.353544621166727	0.416145655042971
ENSG00000171612	0.0203450580386044	3.428500903518	0.886466828026365	0.908683428479815
ENSG00000231181	0.649244478792957	-0.446710948683986	0.00126490936561607	0.00254821141655247
ENSG00000188807	-0.140719703575297	3.92405327500837	0.101538896303858	0.138744040800449
ENSG00000171608	-0.402862987027254	5.49195724726579	0.00917678590225411	0.0157257060471196
ENSG00000231789	1.08901070869996	0.288811460940235	9.65005232880608e-07	3.28520422357881e-06
ENSG00000171603	-0.155061895777532	7.3240981020949	0.105226228882229	0.143295126899071
ENSG00000178585	-0.444160222471237	5.16578217362747	0.000378523591379386	0.000839496624775942
ENSG00000162441	0.00618517114257681	4.39383286495852	0.941811334639519	0.953055002094162
ENSG00000173614	-0.180923454918555	3.20123574316669	0.0525308185433166	0.076865876153885
ENSG00000162444	-1.56419678591766	2.37319267303135	1.80578818183089e-10	1.07390404928362e-09
ENSG00000130939	-0.0699751641101734	5.97072440039423	0.358155527389951	0.420907124706724
ENSG00000054523	-0.138556081217948	6.34418145905266	0.113161198330882	0.152764956203824
ENSG00000142657	0.251500136443293	6.8911594601798	0.0606127314642075	0.0874120001711748
ENSG00000175279	0.738134529998731	0.815512794154562	1.00753253119439e-06	3.41666458797502e-06
ENSG00000160049	-0.0353623346159081	5.36874731632284	0.616289186360116	0.672056968015871
ENSG00000142655	-0.298336773748536	4.13221615548841	0.000418479294276636	0.000920372447103264
ENSG00000130940	-0.818264918522039	4.87337995720313	1.63331151867448e-07	6.20843805083287e-07
ENSG00000272078	-0.255539149910399	1.3787692649726	0.12944083207425	0.172276194218869
ENSG00000175262	0.947098756153296	0.658138689999613	2.528763112326e-06	7.98872812761709e-06
ENSG00000120948	0.288447223474608	6.53161533747911	2.97675142111342e-07	1.09104103810888e-06
ENSG00000009724	-0.165910623643293	2.48409746350676	0.302709742769199	0.363552102737517
ENSG00000271895	-0.0191865053486823	1.81893991946727	0.896431438315596	0.916645177864299
ENSG00000116649	0.434692234013367	5.13996482379938	0.000365601438063528	0.000812811784999802
ENSG00000171824	0.0636327254562754	5.93833940122647	0.260596597760163	0.318845547987327
ENSG00000198793	0.162886850106286	6.29460368174727	0.0151954333478529	0.0248928533413534
ENSG00000171819	-2.61818787493136	0.807880067960162	3.08731315148113e-09	1.53403497155836e-08
ENSG00000120942	0.0237903802896599	4.2670954901907	0.766229664798366	0.807342270855679
ENSG00000204624	1.6841886665737	-0.581012903118791	9.58668745311372e-09	4.3972084032606e-08
ENSG00000116661	0.507735049921726	3.24255909692059	0.0350931751553367	0.0534292007841332
ENSG00000132879	0.239760117181003	4.58006029925296	0.0308869456543625	0.0476235974557134
ENSG00000116663	0.244608603278584	3.89263485047046	0.0500108001759963	0.0735750248799406
ENSG00000116670	0.358217826334868	4.11485714296451	0.0184663274437481	0.0297466163112385
ENSG00000162490	-0.0481664730904606	-0.159465085412505	0.880433058516607	0.903967071069207
ENSG00000177674	0.0158276671233884	5.26598447897653	0.883178981736041	0.905906692065117
ENSG00000177000	-0.682492455223634	6.12093058939605	4.95728565047214e-16	6.86332952669434e-15
ENSG00000011021	-0.220748844631125	5.39728469010235	0.00192929203409537	0.0037559402725983
ENSG00000116685	0.0527902417163239	5.87681929773114	0.570737235389755	0.62949051947649
ENSG00000083444	0.655407877974112	6.84246575769756	3.31038922403361e-05	8.77109062537737e-05
ENSG00000116688	-0.35635205684527	6.86779278752015	5.46786207169098e-07	1.92843892482795e-06
ENSG00000116691	0.0943031425835716	4.70555776514607	0.333227200296512	0.395334626277484
ENSG00000120949	-0.719309153798877	1.73847272312763	0.0188888992380444	0.0303664450058478
ENSG00000028137	-0.905142513340357	6.66035017011569	9.60826562199859e-06	2.77288389714595e-05
ENSG00000048707	-0.380952810115433	6.78218159878021	7.83339816642643e-05	0.000195024334818863
ENSG00000162496	-0.145520477055787	6.27771305574237	0.366309490110051	0.429284292779187
ENSG00000157330	-0.474920844570573	1.60342986943371	0.495035576117169	0.55719238506375
ENSG00000162493	-0.622657500545191	5.60181482251315	0.029644659084293	0.0458559756944916
ENSG00000116731	-0.0954891353237992	6.17087861726082	0.20993641439628	0.264215801829776
ENSG00000189337	-1.2479714944669	4.52502192714145	1.43280617831021e-19	3.59376474969162e-18
ENSG00000175147	1.57598003252827	1.6089813446495	1.36750802752436e-15	1.78072604957599e-14
ENSG00000171729	0.267340246042192	4.27859471903073	0.0309154345296496	0.0476570035095288
ENSG00000142621	-0.166734276246151	3.6313556240888	0.598089218024381	0.655662444796278
ENSG00000228140	0.0560864200770634	-0.314890796822225	0.856740187006227	0.884068913949461
ENSG00000142634	-0.388509548338999	6.56256565902085	0.00271407582008286	0.00513786931300834
ENSG00000215704	-1.52593636857678	-0.41281920739429	7.9261533917304e-11	4.94959575649587e-10
ENSG00000132906	-0.51043236121104	4.51224948327077	1.93522383844599e-06	6.2610281242739e-06
ENSG00000116138	0.383257420958969	5.06686398194432	1.37226651268114e-06	4.54833558377355e-06
ENSG00000116771	3.36615624370698	1.67591792439493	7.47271431099919e-20	1.97836160987036e-18
ENSG00000197312	0.372364811749851	6.00735552340529	3.71810706769138e-05	9.75997032312194e-05
ENSG00000116786	-0.488106534860089	6.61356494265192	6.24304640594163e-08	2.52296437837379e-07
ENSG00000237938	0.344709073745017	0.276010508122572	0.0197908454436695	0.0317326437958238
ENSG00000162461	-0.865121053539431	2.29868959077003	8.09873682890827e-08	3.21405618640731e-07
ENSG00000162458	0.470704141783378	5.9767442704912	0.00112484679218586	0.00229248728905567
ENSG00000233954	0.425752071469972	2.80071793946599	0.000145495127826677	0.000347255747048844
ENSG00000178715	0.0989322453121064	0.453224627735418	0.650642581603781	0.703864233809281
ENSG00000179743	-0.164223324534713	1.96550955283245	0.137675506055192	0.182101872606185
ENSG00000065526	-0.307078399417658	6.99360852792596	0.000328648650949103	0.00073751371189863
ENSG00000116809	-0.0572239924216298	4.97849035112092	0.583007133357315	0.640771982821704
ENSG00000173641	-1.27256277275127	3.63533896531464	1.58850309735101e-07	6.04383309141749e-07
ENSG00000186510	1.04686133334677	0.459818169129651	0.000134167702871881	0.000322249519726591
ENSG00000184908	0.495233767318306	0.282319359711005	0.0536686125512911	0.0783310634657721
ENSG00000142627	-0.461960093517773	6.1336629995498	0.00421293255771783	0.00768418396150295
ENSG00000142632	1.57449409338387	4.57700254665178	3.74884221087532e-21	1.24070001934554e-19
ENSG00000237276	0.975131375435564	1.37199119463069	1.8794056509435e-06	6.09350873495868e-06
ENSG00000132881	-0.176642677478431	1.6750132255407	0.163026158984197	0.211674800144359
ENSG00000037637	-0.0875690506576797	5.21906896197867	0.204826089967789	0.258529236074574
ENSG00000055070	-0.324770747562107	6.46370028431387	4.76792597107374e-05	0.000122907220072683
ENSG00000157191	-0.393929769422113	6.30322800996087	5.25230197295408e-07	1.85665131681638e-06
ENSG00000226029	0.151851677585165	1.6758377420246	0.319707582197985	0.381118301612587
ENSG00000080947	0.371895340260638	3.39125240688374	0.0117688776553717	0.0197283864501637
ENSG00000219481	0.144151879211714	4.01874236556674	0.235597255937292	0.292028955051784
ENSG00000282056	0.29504386981288	4.18888167000392	0.032405013737691	0.0497390220794983
ENSG00000215908	0.0474746780500864	2.78755914352307	0.705257752885058	0.752703113049332
ENSG00000186301	1.33778771435281	3.1253592033426	2.49420514009276e-08	1.07408546750961e-07
