	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000114698	-1.47900341224686	5.70897417944209	-11.7775475231813	6.98466709004759e-19	2.04719588205167e-16	32.5329193306506
ENSG00000150457	-1.45492685793671	5.64552220689102	-11.7654928280607	7.34974661196208e-19	2.05068138455148e-16	32.4831590711881
ENSG00000124067	-1.08876921748602	6.50882805831172	-11.7655017272298	7.34947013710747e-19	2.05068138455148e-16	32.473871302222
ENSG00000116194	-2.73725291246626	3.08308113464127	-11.7577929324386	7.59292751534484e-19	2.08951124459949e-16	32.457365857191
ENSG00000174749	-1.56952576567074	4.36903475367372	-11.7139936280104	9.13853829062632e-19	2.48086615838368e-16	32.2997250335132
ENSG00000078549	-2.99853020634557	1.45047708740352	-11.774668975196	7.07015166003868e-19	2.04719588205167e-16	32.2800025219857
ENSG00000169418	-2.36930057950474	5.21381101505524	-11.6605571404579	1.14596189703253e-18	2.96130102583179e-16	32.0647088919079
ENSG00000103647	-2.35823440614428	2.93875882065282	-11.6597701217153	1.149790830877e-18	2.96130102583179e-16	32.0493848162628
ENSG00000175662	-1.0161133211957	6.44827024122885	-11.6546214792108	1.17515901832533e-18	2.98832525558703e-16	32.007105452835
ENSG00000165312	-1.73075046039743	4.83512092516889	-11.6431459733481	1.23374535885783e-18	3.09808881426186e-16	31.9929741859476
ENSG00000180537	-2.83793753739138	1.61982592068102	-11.6869912745684	1.02454147296481e-18	2.70815969084079e-16	31.9833580121846
ENSG00000137648	5.56702402969404	2.69319124821381	11.635011226108	1.27704744579655e-18	3.16723532575395e-16	31.9224363804358
ENSG00000100154	-1.21180983678311	5.62265856947279	-11.6248972098624	1.33302386986247e-18	3.26574591727648e-16	31.8896627727921
ENSG00000169218	-4.18166303579846	1.39774012706581	-11.7097447674302	9.30437994434517e-19	2.49220918269267e-16	31.8693511420392
ENSG00000227036	3.43663369529894	1.72637225071109	11.6078340081491	1.43311303594992e-18	3.4686515396624e-16	31.7731575719711
ENSG00000133800	-3.32499983689769	4.90848880999525	-11.5862244103395	1.57079587858805e-18	3.66926958197155e-16	31.7689774886661
ENSG00000133561	-1.94158300145918	5.5889835777151	-11.590843407995	1.54028969620269e-18	3.64033878906069e-16	31.7563687899793
ENSG00000141934	2.49984877677119	4.44544287475752	11.5803301657525	1.6106086919416e-18	3.71902505889825e-16	31.7352852655598
ENSG00000162631	-3.31418945655663	2.09343138582765	-11.5980982792683	1.49357326550969e-18	3.57195158700287e-16	31.6747076464252
ENSG00000174944	-1.7015088788482	3.04400087092788	-11.5618789168728	1.74192087301154e-18	3.96081370890317e-16	31.6557710173002
ENSG00000108381	-2.81502972853504	2.55268525223772	-11.5601513939913	1.75475344762e-18	3.96081370890317e-16	31.5994811927884
ENSG00000090006	-2.33733578168129	8.26254236924007	-11.5127368672739	2.1466421494949e-18	4.79006937792118e-16	31.432300124795
ENSG00000147526	-1.52718791331138	8.15593731940983	-11.507673886383	2.19337886251799e-18	4.79006937792118e-16	31.4087580588673
ENSG00000197724	-0.816367863400064	6.07415554427183	-11.5076426799491	2.19367008197894e-18	4.79006937792118e-16	31.3863531406065
ENSG00000135111	-2.13910967714811	5.33265502380789	-11.5001201533251	2.26501735443221e-18	4.84063123757327e-16	31.3823520734697
ENSG00000107738	-1.74428155201692	6.36129800367885	-11.5007395785875	2.25905526654819e-18	4.84063123757327e-16	31.3630205144889
ENSG00000136826	-3.04088001109761	6.74745739671076	-11.4895310134025	2.36942294776626e-18	5.01045658922909e-16	31.3277949990374
ENSG00000162616	-1.66851326537257	4.97357385565161	-11.4612569961849	2.67253742884789e-18	5.53490767094075e-16	31.2221095370499
ENSG00000179913	4.35143655422754	1.7327503461789	11.4743286391367	2.5278349017535e-18	5.2897578480548e-16	31.1989695760394
