	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000149761	413.03228468138	0.343169401103122	0.0722741920084889	4.74815963439363	2.05275989004503e-06	6.49415644584483e-06
ENSG00000110011	722.196509961472	0.236247231725327	0.0861335370060782	2.74280193217487	0.00609174175630747	0.0107038397745527
ENSG00000173511	1815.97958860875	-0.187530411739175	0.107867430937489	-1.73852672775577	0.0821180447568722	0.114322203819876
ENSG00000173486	1088.99182081583	0.483972100187448	0.113655975231149	4.2582195894511	2.06061485729319e-05	5.5594536486923e-05
ENSG00000173457	892.808784329916	1.41175522049883	0.161467465632507	8.74327973730586	2.26439102086531e-18	3.89130463799513e-17
ENSG00000149782	1093.14666904182	0.069334525667146	0.0899881544247694	0.77048502783897	0.441012232990133	0.504555769038031
ENSG00000002330	481.033546485703	-0.146964957370725	0.099522718156394	-1.47669758315663	0.139756720317294	0.183663884562622
ENSG00000173264	534.207683834338	0.232810916436532	0.0911960641690294	2.55286144811056	0.0106841988032434	0.0179460593443442
ENSG00000173153	972.793001240541	0.333091150116997	0.0915775359156406	3.63725827285672	0.000275555592661896	0.000618783400512501
ENSG00000173113	1913.26722860142	0.186667072965352	0.107837504799631	1.73100326562814	0.0834511820224917	0.116010426575086
ENSG00000126432	3812.46947406669	0.0143699204167327	0.108864859689647	0.131997785673896	0.894986043200371	0.916473372507506
ENSG00000168071	1294.92181554059	-0.0441845002937822	0.169874298664887	-0.26010114914997	0.794785751532656	0.832203495224797
ENSG00000162302	1092.54145333085	-0.0519144211852366	0.0961708588225872	-0.539814470004959	0.589324987004391	0.646972493793716
ENSG00000168065	5.28229790519875	2.1988402379487	0.469512940549141	4.68323670776133	2.82380100907393e-06	8.72057470734607e-06
ENSG00000110076	106.471477767219	-0.641425551703577	0.232608064799319	-2.75753788784994	0.00582384638076781	0.0102636415425252
ENSG00000068831	747.707755541128	-0.952085660165185	0.163334102648024	-5.82906842312581	5.5737647978361e-09	2.59013095127757e-08
ENSG00000068976	120.793964461982	-1.34078317152367	0.207137754190211	-6.47290580495749	9.61358891571703e-11	5.6768779461446e-10
ENSG00000168066	6308.59053298933	-0.2231898342291	0.0579714661416154	-3.84999464536367	0.000118120407154758	0.000282625161902326
ENSG00000168067	1020.58746843183	-0.622757227983645	0.123127309430159	-5.05783185603425	4.24050071470495e-07	1.49085437272852e-06
ENSG00000133895	894.737981894663	0.46059753410565	0.0875052446952097	5.26365631808654	1.41218328478028e-07	5.32557724947455e-07
ENSG00000171219	1179.99608855791	0.00329380404599974	0.150265161694549	0.0219199447753246	0.982511814966786	0.98629221721306
ENSG00000110047	2773.649488522	-1.08967604053545	0.133206154109926	-8.18037310525624	2.82966335619249e-16	3.5909732888535e-15
ENSG00000229719	25.4764055096149	3.20262704480878	0.554497315812452	5.77573047421568	7.66199403237236e-09	3.48630704963717e-08
ENSG00000110046	1250.29647528547	-0.0853414520137538	0.0927131011093259	-0.920489671822329	0.357316927790516	0.419847912638689
ENSG00000068971	718.859375070069	-0.420995697056475	0.104743469597927	-4.01930257487679	5.83706697021118e-05	0.000146484495146249
ENSG00000149735	2.54674238842452	-0.147999387223658	0.365609254232849	-0.404802081758578	0.685622998455616	0.735173761194282
ENSG00000168062	304.571917183454	-0.330621829260558	0.214732007147934	-1.53969514676396	0.123634680391526	0.164876333934238
ENSG00000213465	446.782859816141	-0.521277147377549	0.102314958009115	-5.09482833713435	3.49057392919797e-07	1.24344840102408e-06
ENSG00000110025	71.4025926303471	0.195117095771661	0.117905192599357	1.65486431487942	0.0979520243020533	0.133924876894028
ENSG00000168061	158.174730473617	0.484842101603721	0.135352756877384	3.58206299442382	0.000340891561575473	0.000752050360255839
ENSG00000168060	146.296352644879	-0.925016287236074	0.12676253260749	-7.29723734772885	2.93736374809838e-13	2.45664864011442e-12
ENSG00000146670	159.095011202784	2.2111013144027	0.219469108178465	10.0747724030696	7.14259666328443e-24	2.81348283075923e-22
ENSG00000162300	106.498853610338	0.0782300632908251	0.079000674807777	0.990245507157667	0.322054134443884	0.383187959419758
ENSG00000187066	37.2123392083788	0.823012341029373	0.125673444210223	6.54881662710432	5.79947891377826e-11	3.52819024581281e-10
ENSG00000149823	1935.39146341556	-0.45473360347581	0.0741926633748667	-6.12909124421396	8.83824312611913e-10	4.58433943094777e-09
ENSG00000149809	574.817230294749	0.910756051929009	0.175103175714639	5.20125376488457	1.97948603728945e-07	7.31259562396244e-07
ENSG00000174276	174.962713974543	0.354241602071424	0.132140631588936	2.68079240890419	0.00734480637175698	0.0127121405360753
ENSG00000149806	5354.58883684207	-0.163903643590111	0.0979662364619309	-1.67306257246907	0.0943149785854114	0.129525130216183
ENSG00000162298	2144.70360245233	0.615330272748961	0.0809630753685927	7.60013462862678	2.95822834920369e-14	2.8516242469843e-13
ENSG00000149792	1079.51049827045	0.071043795864735	0.0767166106754726	0.926054934377448	0.354417432316407	0.416831087044336
ENSG00000255200	16.3104038823504	1.28510621836074	0.19588608545437	6.56047730689933	5.36358170769458e-11	3.28302842552944e-10
ENSG00000254614	50.627978659672	0.757458788894613	0.191710047378653	3.95106463772623	7.78043052958911e-05	0.000191357821876733
ENSG00000014216	4519.02556349154	0.227813940512609	0.0768772977288847	2.96334480064605	0.00304315477863278	0.00566317150050523
ENSG00000197847	41.1971144012682	1.19143327677698	0.176613937686	6.74597538782711	1.52002386557144e-11	1.00117244050704e-10
ENSG00000014138	393.389573198723	0.486443730630504	0.0855255919150411	5.68769791285075	1.28763335652637e-08	5.64417772185429e-08
ENSG00000149798	623.410345366369	-1.88961545269477	0.174399321690487	-10.8349931317298	2.34983045467729e-27	1.50817073495246e-25
ENSG00000133884	1173.35388960698	0.032897849308649	0.0555985705907736	0.591703149183269	0.554049387384189	0.613848342331842
ENSG00000173825	18.1523735211182	0.597086523689808	0.275805278033598	2.16488432689484	0.0303965447648485	0.046567237686345
ENSG00000162241	521.837811923207	0.10980935756647	0.104525495429147	1.05055094085543	0.293464883090339	0.353124650278636
ENSG00000126391	1146.81575793322	-0.0672057679661519	0.0873811967112001	-0.769110180400377	0.441827905134048	0.505345068676718
ENSG00000245532	33813.174066922	0.714924557665745	0.165498022526045	4.31983746242788	1.56144163643297e-05	4.29284262136334e-05
ENSG00000173727	59.0819827470619	0.505095560704829	0.238882183962906	2.11441285543196	0.0344800206249011	0.0521470401515951
ENSG00000251562	23021.5668679868	0.922473853926876	0.158705044766254	5.81250492248387	6.15448734570381e-09	2.83963013982186e-08
ENSG00000142186	1897.76331031698	0.0430185071205652	0.0723293886161171	0.594758340193953	0.552005018451079	0.611874355211405
