A	B	correlation	p-value
ME25	gender_man	0.0252935563394867	0.829452406036943
ME57	gender_man	0.091155074276066	0.436693873567992
ME69	gender_man	0.0914816373753159	0.435045804458401
ME74	gender_man	0.21992930797429	0.0579682814857059
ME5	gender_man	0.140971284259336	0.227672123373816
ME68	gender_man	0.119071083793813	0.308919689994446
ME100	gender_man	0.194223468582645	0.0949758483546887
ME21	gender_man	0.106485158030186	0.363197910847525
ME103	gender_man	0.161302088285915	0.166810098163735
ME76	gender_man	0.200243763676543	0.0849738746176329
ME104	gender_man	0.170836098959156	0.142803297028145
ME10	gender_man	0.123623080438234	0.29065530041692
ME15	gender_man	0.181987270363138	0.118131396890708
ME101	gender_man	0.131986078653473	0.258990167609848
smoking_current	gender_man	0.347985272676876	0.00221892926722709
stage_3A	gender_man	0.176229124172508	0.130427246490937
ME27	gender_man	-0.0248250449931427	0.832565192676766
ME44	gender_man	-0.101943451377704	0.384137481712349
ME62	gender_man	-0.259202238887054	0.0247307534142734
ME80	gender_man	-0.193844135945668	0.0956357393744995
ME84	gender_man	-0.233582364400279	0.0437059691151757
ME48	gender_man	-0.25373701120633	0.0280487895545813
ME58	gender_man	-0.24778949776443	0.0320789203565095
ME46	gender_man	-0.136384562233593	0.243312110705506
ME43	gender_man	0.101804484794034	0.384789382438258
ME28	gender_man	-0.00114425897531604	0.992226227496721
ME71	gender_man	0.147544187529695	0.206504568896608
ME36	gender_man	0.08179857206057	0.485384419271762
ME41	gender_man	0.0947613803924594	0.418690025245483
ME18	gender_man	0.171284322193394	0.141742243266279
ME54	gender_man	0.0943631667916812	0.420656765078905
ME37	gender_man	0.079100253862982	0.49994217653852
ME52	gender_man	-0.222252321758803	0.055304371120935
ME23	gender_man	-0.0278175144045049	0.812729474868153
ME83	gender_man	-0.0961669228221966	0.411790684370231
ME6	gender_man	-0.116156930351366	0.32099412909566
ME67	gender_man	-0.0215210523589062	0.854587283076331
ME4	gender_man	-0.119877892893718	0.305629445749455
ME1	gender_man	0.0854399563544942	0.466100662861667
ME72	gender_man	-0.0315455416605538	0.788183071577688
ME35	gender_man	-0.0977249443606255	0.404220608806397
ME17	gender_man	0.0992584743188156	0.39684977604717
ME7	gender_man	0.0172641878124124	0.883122566095586
ME66	gender_man	0.10006249027223	0.393017262598294
ME64	gender_man	0.103565602518452	0.376576919608356
ME85	gender_man	0.104695437864522	0.37136446812273
ME40	gender_man	0.128686805949892	0.271190726586808
ME30	gender_man	-0.0848022308693228	0.469447482907157
ME77	gender_man	-0.036047419382669	0.758815772998386
ME60	gender_man	0.0692520159311596	0.554938380254993
ME98	gender_man	0.181134574273818	0.119893850599093
ME61	gender_man	-0.0757012139311316	0.518598238365373
ME55	gender_man	-0.10134161176956	0.386965521419895
ME91	gender_man	-0.0551275268236857	0.638528504528648
ME19	gender_man	-0.0506036958192784	0.666354501111558
ME26	gender_man	0.0878396614409424	0.453623910974776
ME63	gender_man	0.0146487729613786	0.900730980517767
ME65	gender_man	-0.0316308403795943	0.787623745201427
ME97	gender_man	-0.0483989237595562	0.680083780640646
ME3	gender_man	0.184210289051511	0.113630168344426
ME29	gender_man	0.0758618942195054	0.517708460568445
ME92	gender_man	0.0963855986291701	0.410723247233132
treat_Treat	gender_man	-0.0423361724411307	0.718364339472811
group_treat	gender_man	-0.0423361724411307	0.718364339472811
ME34	gender_man	0.0227183236358139	0.846593364794662
ME0	gender_man	-0.0712231465312192	0.54370322973219
ME22	gender_man	-0.0855789042858198	0.465373181552486
ME12	gender_man	-0.128064236799992	0.273535500916497
stage_3B	gender_man	-0.282778451946134	0.0139636320919081
ME38	gender_man	-0.232781253867347	0.0444538838655111
ME96	gender_man	-0.188772858173778	0.104807230720036
ME11	gender_man	-0.260911944838315	0.0237637205601136
ME16	gender_man	-0.262097165538213	0.0231123589040792
stage_1B	gender_man	-0.254240670764094	0.0277280614915818
gender_woman	gender_man	-1	0
smoking_never	gender_man	-0.734505139931989	6.39647508051513e-14
ME24	gender_man	0.0157476299598158	0.893326539761652
treat_Ctrl	gender_man	0.0423361724411307	0.718364339472811
group_ctrl	gender_man	0.0423361724411307	0.718364339472811
