age	treat_Ctrl	treat_Treat	group_ctrl	group_treat	gender_man	gender_woman	smoking_current	smoking_ever	smoking_never	stage_1A	stage_1B	stage_2A	stage_2B	stage_3A	stage_3B	stage_4
Cluster_10	-0.0840289957089137	-0.236109806091776	0.236109806091776	-0.236109806091776	0.236109806091776	0.123623080438234	-0.123623080438234	-0.0289808007442467	0.160325922803301	-0.135950203006113	-0.0955211237382931	-0.113440863485725	-0.0177971830262922	0.353753363530083	-0.0365760451201799	-0.027054239299153	0.0351053117030173
Cluster_11	-0.0175513864905224	0.108793950162765	-0.108793950162765	0.108793950162765	-0.108793950162765	-0.260911944838315	0.260911944838315	-0.00775468625998108	-0.247228676589256	0.246829829356538	-0.175506575091277	0.154273481534717	-0.104894900664401	-0.0842297845835462	-0.0420026884688269	0.374382505695728	-0.102164824441256
Cluster_12	-0.0607474005383077	-0.272327378268542	0.272327378268542	-0.272327378268542	0.272327378268542	-0.128064236799992	0.128064236799992	-0.0134120979012532	-0.104457769278352	0.111476669866546	-0.0835595407978429	-0.105209800047594	0.0272534061117945	-0.0373425972521221	-0.0423361767326897	0.467152308613797	-8.85982986185428e-05
Cluster_13	0.187278060674271	0.764160075820326	-0.764160075820326	0.764160075820326	-0.764160075820326	0.0317949895802775	-0.0317949895802775	-0.213521401069565	0.21246466400636	-0.0559829161975772	0.108711022429848	-0.13827350055963	0.0641309638585642	-0.0435974312729267	-0.0164771475907452	0.0827116888897397	0.0292275006615562
Cluster_14	0.132086874333005	0.799624292941559	-0.799624292941559	0.799624292941559	-0.799624292941559	-0.0424010643585106	0.0424010643585106	-0.132896661809628	0.0306815261061885	0.0642906519414551	0.173634430174535	-0.0432975635536426	-0.00653952722121039	-0.112863482208143	-0.029435238536459	0.0719836495654496	-0.107912600573323
Cluster_15	-0.130606154332491	-0.503662669693015	0.503662669693015	-0.503662669693015	0.503662669693015	0.181987270363138	-0.181987270363138	0.132192988884476	0.105140086067064	-0.196373114602547	-0.135961845838294	-0.150217490876421	0.113530575102317	0.27300715375231	0.0319978701351411	-0.0442449775854273	0.10016814159776
Cluster_16	-0.0683467292374652	-0.050891164860843	0.050891164860843	-0.050891164860843	0.050891164860843	-0.262097165538213	0.262097165538213	-0.00614675554414074	-0.252908359798259	0.251233795546234	-0.16919960950272	0.203980915072899	-0.0885082869200957	-0.0832992733737491	-0.0408839368190496	0.221193188146876	-0.0884514824113454
Cluster_17	-0.180874113420069	-0.347402719216021	0.347402719216021	-0.347402719216021	0.347402719216021	0.0992584743188156	-0.0992584743188156	0.0124010447933467	0.0719179766995863	-0.0789961837760882	-0.0626305429681091	0.14979219435393	0.0153126589492683	-0.0391531505112216	-0.0562848848358271	-0.054462378726676	-0.0417372147662166
Cluster_18	-0.291751891455395	-0.167072056753378	0.167072056753378	-0.167072056753378	0.167072056753378	0.171284322193394	-0.171284322193394	0.379196349728219	-0.0724742358879765	-0.198152019524024	0.0546204340324147	-0.135919412541073	-0.0690572308516984	0.207348972926603	0.0474956720854094	-0.060273413358369	-0.0244923309237063
Cluster_19	-0.0882026147208468	-0.650878248488769	0.650878248488769	-0.650878248488769	0.650878248488769	-0.0506036958192784	0.0506036958192784	0.175543175588578	-0.305803775975227	0.174026611021102	-0.0628993280639524	0.127750224109877	0.039003957548252	-0.0058417768285938	-0.027193612900848	-0.0224488021703052	-0.132299496664063
